"# 文本key","文本value"
"string","string"
"id","text"
"f23add0ba2559511bae35abb4386cc79","(The handwriting of the biography of Flying Pigeon is trembling, as if you can feel fear and anxiety)\\n\\nYu Wenru's body was a black bird's death, and this matter was not small, he might have affected the pond fish.\\nYu Qing was meager, cowardly, difficult to support, and more frightened.\\nThinking again and again, Yu decided to break the bronze mirror, and since then the water surface no longer meets.\\nYu Pingyong is difficult to match the heroes of Ru.\\nMay you escape this robbery, and will be in the future and will not be disturbed.\\nWhere there is no grasses in the world, why bother to love a flower alone. May Ruzhen take a serious, after this, each of them is well.\\n\\n{0}\\n(At the end of the letter, the handwriting is becoming more and more messy, and it seems to be in a hurry."
"4f12b885fa35608685f9febfb1ad4314","Letter from {0}"
"23919a9ecdb31e7d808716f2d65eb06b","You took down my enemy, and I've got to thank you for it, no doubt! !"
"0bd3a1e12866fd4db04dbe32820e0fa4","We're family, it's the least I can do! !"
"07f1effe8217ac63663cc0f5295aa240","Even so, I really appreciate it. Please take this."
"a3fccde6074b2d61c53cfe00f09c95db","Their attitude has changed, and I received a treasure."
"94a5c429334328991826d2f92087293c","I helped {0}{1} settle a score. {0}{1} grew closer to me and gifted me a treasure."
"dd1105f15cf73be8f48e467ebddbb8e1","Bye!"
"007f3352031a811c65c3559a22183632","We're from the same sect, it was no big deal."
"35af698f5324cc2ab53e3c5c9fe52b92","Well, since you've lent a hand, rest assured, I shall not forget!"
"9100a9df3937996496c4b4fa379a36f1","We're good friends, there's no need for such a big fuss."
"f5ab0e4c2bf7ff0a6e134bf79cc96db4","My brother, you've helped me let off some steam today. I won't forget your kindness!"
"ecf7fcb456d48636c9a357ea5628009a","I just did what made sense."
"602a4206b53927505f414065a1f8e81b","I never thought you'd set aside our past conflicts and seek revenge for me. I respect you and am ready to bond, leaving our conflicts behind."
"c32fcd011a0c446265fe3c84a426c5b6","Our bond is unyielding, anyone who dares harm you will face my wrath."
"776550f80c204be0b1e3e81d212edfa9","I understand our encounter drained my luck, but I'll stand by you, no matter what."
"a58e56e006072a2992f38de6b74a2cbc","You are my loyal retainer. Of course, I will watch over you."
"d8539a499f9da9e07dcf34fb9e1ba845","It's a small favor, hardly worth mentioning."
"2f33b6d5204d36e70c126fbdd1ba219f","Young master, please, help me! !"
"c3003f68037d2d0d2f0ceb662d21c64f","Ask about the reason"
"886abe9ed897ddde7ae6567d9fbe0d8e","It's none of your business! Leave, or I won't be polite with you! !"
"6256f6348e5d2200478318bc49d08cc7","Ask the girl about what happened"
"bd55b899bba71f2c54e8d080a75269c9","This scoundrel has been harassing me, and he even killed my father! Now, he's even forcing me to be with him. I'd rather die!"
"ed15af327706592164eb4993e59b6c8a","Help the girl"
"f399d9e9c9fd84be9ec6fa0a3e0ebaa6","You little rascal, it appears you're testing your luck!"
"10f9ff5915ad633e5f99e51d6a39c086","Encountered a girl named {0}{1} being harassed by a scoundrel, I helped her without hesitation. Her gratitude towards me grew."
"cc6d41127f1db28321e805b15981162c","{0}{1} came to my rescue just when I had almost lost hope. I won't forget his kindness."
"51479b8fa32d88d441c687b28ac1a36c","Both of them now have a different attitude towards you."
"127a4c577dbc0a7c1a3269ead618748a","Enough talk! !"
"eb5deca5ad31e19dfe753f011c50871f","I'm afraid I can't help. . ."
"bdd424d87b16971d535da34891cfcc7d","Consider yourself lucky! Beauty, where do you think you're running to?"
